"GeneID" "Chr" "Start" "End" "Strand" "Length"
"876" "nadB" "AL591824.1" 2102608 2104062 "+" 1455
"877" "nadC" "AL591824.1" 2104047 2104052 "+" 6
"878" "nadA" "AL591824.1" 2104886 2104891 "+" 6
"879" "lmo2031" "AL591824.1" 2111684 2112373 "-" 690
"880" "lmo2030" "AL591824.1" 2111689 2111694 "-" 6
"881" "murD" "AL591824.1" 2117304 2118671 "-" 1368
"882" "murG" "AL591824.1" 2117315 2117320 "-" 6
"883" "ftsL" "AL591824.1" 2123735 2124097 "-" 363
"884" "pbpB" "AL591824.1" 2123749 2123754 "-" 6
"885" "lmo2041" "AL591824.1" 2124114 2125052 "-" 939
"886" "lmo2042" "AL591824.1" 2125065 2125496 "-" 432
"887" "lmo2046" "AL591824.1" 2129185 2130078 "-" 894
"888" "lmo2045" "AL591824.1" 2129198 2129203 "-" 6
"889" "lmo2053" "AL591824.1" 2136239 2136796 "-" 558
"890" "lmo2052" "AL591824.1" 2136244 2136249 "-" 6
"891" "lmo2070" "AL591824.1" 2149868 2150554 "+" 687
"892" "lmo2071" "AL591824.1" 2150546 2150550 "+" 5
"893" "lmo2075" "AL591824.1" 2155152 2155191 "-" 40
"894" "lmo2075" "AL591824.1" 2156269 2156275 "-" 7
"895" "lmo2076" "AL591824.1" 2156706 2156711 "-" 6
"896" "lmo2078" "AL591824.1" 2157383 2157844 "-" 462
"897" "lmo2077" "AL591824.1" 2157397 2157402 "-" 6
"898" "lmo2082" "AL591824.1" 2160043 2160432 "-" 390
"899" "lmo2081" "AL591824.1" 2160062 2160067 "-" 6
"900" "lmo2083" "AL591824.1" 2160459 2160487 "-" 29
"901" "lmo2084" "AL591824.1" 2161161 2162054 "-" 894
"902" "lmo2083" "AL591824.1" 2161172 2161177 "-" 6
"903" "lmo2087" "AL591824.1" 2166012 2167343 "-" 1332
"904" "lmo2088" "AL591824.1" 2167353 2167943 "-" 591
"905" "argG" "AL591824.1" 2169312 2170526 "+" 1215
"906" "argH" "AL591824.1" 2170516 2170521 "+" 6
"907" "lmo2093" "AL591824.1" 2173841 2173846 "-" 6
"908" "lmo2095" "AL591824.1" 2174488 2175420 "-" 933
"909" "lmo2094" "AL591824.1" 2174496 2174501 "-" 6
"910" "lmo2097" "AL591824.1" 2177100 2177105 "-" 6
"911" "lmo2099" "AL591824.1" 2177571 2179577 "-" 2007
"912" "lmo2098" "AL591824.1" 2177574 2177579 "-" 6
"913" "lmo2101" "AL591824.1" 2181329 2182216 "+" 888
"914" "lmo2102" "AL591824.1" 2182205 2182210 "+" 6
"915" "lmo2104" "AL591824.1" 2184120 2184347 "+" 228
"916" "lmo2105" "AL591824.1" 2184330 2184336 "+" 7
"917" "lmo2107" "AL591824.1" 2187663 2188424 "+" 762
"918" "lmo2108" "AL591824.1" 2188415 2188420 "+" 6
"919" "lmo2114" "AL591824.1" 2193645 2194412 "+" 768
"920" "lmo2115" "AL591824.1" 2194385 2194389 "+" 5
"921" "lmo2115" "AL591824.1" 2196349 2196372 "+" 24
"922" "lmo2119" "AL591824.1" 2199331 2199360 "-" 30
"923" "lmo2120" "AL591824.1" 2200723 2201544 "-" 822
"924" "lmo2119" "AL591824.1" 2200736 2200741 "-" 6
"925" "lmo2124" "AL591824.1" 2205709 2207016 "-" 1308
"926" "lmo2123" "AL591824.1" 2205717 2205722 "-" 6
"927" "lmo2135" "AL591824.1" 2219751 2220845 "-" 1095
"928" "lmo2136" "AL591824.1" 2220862 2221173 "-" 312
"929" "lmo2137" "AL591824.1" 2221186 2221659 "-" 474
"930" "lmo2138" "AL591824.1" 2221671 2223128 "-" 1458
"931" "lmo2139" "AL591824.1" 2223324 2224226 "+" 903
"932" "lmo2140" "AL591824.1" 2224204 2224209 "+" 6
"933" "lmo2141" "AL591824.1" 2225471 2225944 "+" 474
"934" "lmo2152" "AL591824.1" 2234936 2234976 "-" 41
"935" "lmo2152" "AL591824.1" 2235317 2235322 "-" 6
"936" "lmo2154" "AL591824.1" 2235739 2236788 "-" 1050
"937" "lmo2160" "AL591824.1" 2244425 2244430 "-" 6
"938" "lmo2162" "AL591824.1" 2245143 2245883 "-" 741
"939" "lmo2161" "AL591824.1" 2245151 2245156 "-" 6
"940" "lmo2172" "AL591824.1" 2253221 2254804 "-" 1584
"941" "lmo2171" "AL591824.1" 2253234 2253239 "-" 6
"942" "lmo2181" "AL591824.1" 2269710 2269715 "-" 6
"943" "lmo2182" "AL591824.1" 2270491 2270496 "-" 6
"944" "lmo2184" "AL591824.1" 2271444 2272316 "-" 873
"945" "lmo2183" "AL591824.1" 2271463 2271468 "-" 6
"946" "lmo2192" "AL591824.1" 2280202 2280229 "-" 28
"947" "lmo2193" "AL591824.1" 2281203 2282279 "-" 1077
"948" "lmo2192" "AL591824.1" 2281216 2281221 "-" 6
"949" "lmo2195" "AL591824.1" 2283331 2284260 "-" 930
"950" "lmo2194" "AL591824.1" 2283341 2283346 "-" 6
"951" "lmo2199" "AL591824.1" 2288524 2288554 "-" 31
"952" "lmo2200" "AL591824.1" 2288971 2289423 "-" 453
"953" "lmo2199" "AL591824.1" 2288996 2289001 "-" 6
"954" "hemH" "AL591824.1" 2300299 2300323 "-" 25
"955" "hemE" "AL591824.1" 2301260 2302321 "-" 1062
"956" "hemH" "AL591824.1" 2301271 2301276 "-" 6
"957" "lmo2214" "AL591824.1" 2303028 2303054 "-" 27
"958" "lmo2215" "AL591824.1" 2304267 2305019 "-" 753
"959" "lmo2214" "AL591824.1" 2304290 2304295 "-" 6
"960" "lmo2222" "AL591824.1" 2311461 2312696 "-" 1236
"961" "lmo2221" "AL591824.1" 2311475 2311480 "-" 6
"962" "lmo2226" "AL591824.1" 2316750 2316755 "-" 6
"963" "lmo2228" "AL591824.1" 2317644 2317841 "-" 198
"964" "lmo2227" "AL591824.1" 2317652 2317657 "-" 6
"965" "lmo2239" "AL591824.1" 2330925 2330954 "-" 30
"966" "lmo2239" "AL591824.1" 2332033 2332038 "-" 6
"967" "lmo2241" "AL591824.1" 2332888 2333283 "-" 396
"968" "lmo2240" "AL591824.1" 2332907 2332912 "-" 6
"969" "lmo2245" "AL591824.1" 2335867 2335872 "-" 6
"970" "lmo2247" "AL591824.1" 2336515 2337399 "-" 885
"971" "lmo2246" "AL591824.1" 2336527 2336533 "-" 7
"972" "lmo2248" "AL591824.1" 2337786 2338406 "+" 621
"973" "lmo2249" "AL591824.1" 2338420 2339418 "+" 999
"974" "lmo2249" "AL591824.1" 2339428 2339449 "+" 22
"975" "arpJ" "AL591824.1" 2339611 2341071 "+" 1461
"976" "lmo2251" "AL591824.1" 2341048 2341053 "+" 6
"977" "lmo2257" "AL591824.1" 2346175 2346200 "-" 26
"978" "lmo2258" "AL591824.1" 2346572 2346591 "-" 20
"979" "lmo2258" "AL591824.1" 2346593 2346784 "-" 192
"980" "lmo2266" "AL591824.1" 2352624 2352629 "-" 6
"981" "addB" "AL591824.1" 2356325 2359798 "-" 3474
"982" "lmo2267" "AL591824.1" 2356331 2356336 "-" 6
"983" "lmo2274" "AL591824.1" 2362306 2362656 "+" 351
"984" "lmo2275" "AL591824.1" 2362646 2362650 "+" 5
"985" "lysA" "AL591824.1" 2364728 2364747 "-" 20
"986" "lmo2279" "AL591824.1" 2365599 2365880 "-" 282
"987" "lysA" "AL591824.1" 2365610 2365615 "-" 6
"988" "lmo2282" "AL591824.1" 2366384 2366398 "-" 15
"989" "lmo2282" "AL591824.1" 2366451 2366768 "-" 318
"990" "lmo2281" "AL591824.1" 2366452 2366457 "-" 6
"991" "lmo2283" "AL591824.1" 2367866 2367871 "-" 6
"992" "lmo2285" "AL591824.1" 2368882 2369907 "-" 1026
"993" "lmo2284" "AL591824.1" 2368889 2368894 "-" 6
"994" "lmo2287" "AL591824.1" 2370736 2376099 "-" 5364
"995" "lmo2286" "AL591824.1" 2370741 2370746 "-" 6
"996" "lmo2289" "AL591824.1" 2376721 2377143 "-" 423
"997" "lmo2288" "AL591824.1" 2376724 2376729 "-" 6
"998" "lmo2290" "AL591824.1" 2377536 2377541 "-" 6
"999" "lmo2291" "AL591824.1" 2377905 2377910 "-" 6
"1000" "lmo2293" "AL591824.1" 2378241 2378260 "-" 20
"1001" "lmo2292" "AL591824.1" 2378312 2378317 "-" 6
"1002" "lmo2293" "AL591824.1" 2378650 2378655 "-" 6
"1003" "lmo2295" "AL591824.1" 2379004 2379399 "-" 396
"1004" "lmo2294" "AL591824.1" 2379014 2379019 "-" 6
"1005" "lmo2297" "AL591824.1" 2380419 2381009 "-" 591
"1006" "lmo2296" "AL591824.1" 2380429 2380434 "-" 6
"1007" "lmo2299" "AL591824.1" 2382228 2383988 "-" 1761
"1008" "lmo2298" "AL591824.1" 2382236 2382241 "-" 6
"1009" "lmo2301" "AL591824.1" 2385301 2386095 "-" 795
"1010" "lmo2300" "AL591824.1" 2385342 2385347 "-" 6
"1011" "lmo2305" "AL591824.1" 2388184 2388189 "-" 6
"1012" "lmo2307" "AL591824.1" 2388528 2388710 "-" 183
"1013" "lmo2306" "AL591824.1" 2388593 2388597 "-" 5
"1014" "lmo2309" "AL591824.1" 2389208 2389387 "-" 180
"1015" "lmo2308" "AL591824.1" 2389220 2389225 "-" 6
"1016" "lmo2310" "AL591824.1" 2389666 2389671 "-" 6
"1017" "lmo2311" "AL591824.1" 2390124 2390129 "-" 6
"1018" "lmo2312" "AL591824.1" 2390591 2390596 "-" 6
"1019" "lmo2313" "AL591824.1" 2391031 2391036 "-" 6
"1020" "lmo2314" "AL591824.1" 2391225 2391230 "-" 6
"1021" "lmo2315" "AL591824.1" 2391824 2391829 "-" 6
"1022" "lmo2317" "AL591824.1" 2392622 2393596 "-" 975
"1023" "lmo2316" "AL591824.1" 2392633 2392638 "-" 6
"1024" "lmo2318" "AL591824.1" 2394320 2394325 "-" 6
"1025" "lmo2320" "AL591824.1" 2394790 2394984 "-" 195
"1026" "lmo2319" "AL591824.1" 2394803 2394808 "-" 6
"1027" "lmo2323" "AL591824.1" 2395798 2396331 "-" 534
"1028" "lmo2322" "AL591824.1" 2395810 2395815 "-" 6
"1029" "lmo2324" "AL591824.1" 2397236 2397241 "-" 6
"1030" "lmo2326" "AL591824.1" 2397493 2397774 "-" 282
"1031" "lmo2325" "AL591824.1" 2397498 2397503 "-" 6
"1032" "int" "AL591824.1" 2401008 2402366 "+" 1359
"1033" "'comK" "AL591824.1" 2402852 2402875 "+" 24
"1034" "fruA" "AL591824.1" 2405247 2405252 "-" 6
"1035" "lmo2337" "AL591824.1" 2406161 2406913 "-" 753
"1036" "fruB" "AL591824.1" 2406172 2406177 "-" 6
"1037" "lmo2340" "AL591824.1" 2408932 2408956 "-" 25
"1038" "lmo2341" "AL591824.1" 2409875 2410993 "-" 1119
"1039" "lmo2340" "AL591824.1" 2409886 2409891 "-" 6
"1040" "lmo2343" "AL591824.1" 2411854 2411888 "-" 35
"1041" "lmo2343" "AL591824.1" 2413231 2413236 "-" 6
"1042" "lmo2344" "AL591824.1" 2413495 2413500 "-" 6
"1043" "lmo2345" "AL591824.1" 2414481 2414486 "-" 6
"1044" "lmo2347" "AL591824.1" 2415246 2415953 "-" 708
"1045" "lmo2346" "AL591824.1" 2415256 2415261 "-" 6
"1046" "lmo2350" "AL591824.1" 2417531 2418067 "-" 537
"1047" "lmo2351" "AL591824.1" 2418083 2418628 "-" 546
"1048" "lmo2355" "AL591824.1" 2423480 2424721 "-" 1242
"1049" "lmo2354" "AL591824.1" 2423485 2423490 "-" 6
"1050" "lmo2362" "AL591824.1" 2431688 2433211 "+" 1524
"1051" "lmo2363" "AL591824.1" 2433224 2434618 "+" 1395
"1052" "lmo2363" "AL591824.1" 2434625 2434660 "+" 36
"1053" "lmo2371" "AL591824.1" 2448052 2449155 "+" 1104
"1054" "lmo2372" "AL591824.1" 2449140 2449145 "+" 6
"1055" "lmo2372" "AL591824.1" 2449840 2449876 "+" 37
"1056" "lmo2378" "AL591824.1" 2454695 2457103 "+" 2409
"1057" "lmo2379" "AL591824.1" 2457076 2457081 "+" 6
"1058" "lmo2380" "AL591824.1" 2457499 2457504 "+" 6
"1059" "lmo2381" "AL591824.1" 2457835 2457840 "+" 6
"1060" "lmo2382" "AL591824.1" 2459329 2459334 "+" 6
"1061" "lmo2383" "AL591824.1" 2459803 2459808 "+" 6
"1062" "lmo2384" "AL591824.1" 2460078 2460084 "+" 7
"1063" "lmo2403" "AL591824.1" 2475860 2477251 "-" 1392
"1064" "lmo2402" "AL591824.1" 2475871 2475876 "-" 6
"1065" "lmo2404" "AL591824.1" 2477385 2478224 "+" 840
"1066" "lmo2405" "AL591824.1" 2478212 2478217 "+" 6
"1067" "lmo2408" "AL591824.1" 2480325 2480528 "+" 204
"1068" "lmo2409" "AL591824.1" 2480519 2480524 "+" 6
"1069" "lmo2412" "AL591824.1" 2483603 2483608 "-" 6
"1070" "lmo2414" "AL591824.1" 2484816 2486117 "-" 1302
"1071" "lmo2413" "AL591824.1" 2484826 2484832 "-" 7
"1072" "lmo2419" "AL591824.1" 2489945 2490967 "-" 1023
"1073" "lmo2418" "AL591824.1" 2489959 2489964 "-" 6
"1074" "lmo2422" "AL591824.1" 2492684 2493379 "-" 696
"1075" "lmo2421" "AL591824.1" 2492703 2492708 "-" 6
"1076" "lmo2429" "AL591824.1" 2498268 2498307 "-" 40
"1077" "lmo2429" "AL591824.1" 2499181 2499186 "-" 6
"1078" "lmo2431" "AL591824.1" 2500179 2501150 "-" 972
"1079" "lmo2430" "AL591824.1" 2500187 2500192 "-" 6
"1080" "tpi" "AL591824.1" 2529184 2529939 "-" 756
"1081" "pgm" "AL591824.1" 2529192 2529197 "-" 6
"1082" "lmo2464" "AL591824.1" 2538588 2539196 "-" 609
"1083" "lmo2463" "AL591824.1" 2538593 2538598 "-" 6
"1084" "lmo2472" "AL591824.1" 2547511 2547516 "-" 6
"1085" "lmo2474" "AL591824.1" 2548479 2549354 "-" 876
"1086" "lmo2473" "AL591824.1" 2548486 2548491 "-" 6
"1087" "lmo2481" "AL591824.1" 2556514 2557167 "-" 654
"1088" "lmo2480" "AL591824.1" 2556519 2556524 "-" 6
"1089" "lmo2485" "AL591824.1" 2559617 2559817 "-" 201
"1090" "lmo2484" "AL591824.1" 2559619 2559624 "-" 6
"1091" "uvrB" "AL591824.1" 2565469 2567445 "-" 1977
"1092" "uvrA" "AL591824.1" 2565470 2565475 "-" 6
"1093" "lmo2498" "AL591824.1" 2572880 2573803 "-" 924
"1094" "lmo2497" "AL591824.1" 2572892 2572897 "-" 6
"1095" "phoR" "AL591824.1" 2575008 2575054 "-" 47
"1096" "phoP" "AL591824.1" 2576836 2577546 "-" 711
"1097" "phoR" "AL591824.1" 2576847 2576852 "-" 6
"1098" "ftsE" "AL591824.1" 2584055 2584741 "-" 687
"1099" "ftsX" "AL591824.1" 2584074 2584079 "-" 6
"1100" "lmo2508" "AL591824.1" 2586120 2586125 "-" 6
"1101" "comFA" "AL591824.1" 2591451 2592770 "-" 1320
"1102" "comFC" "AL591824.1" 2591467 2591472 "-" 6
"1103" "lmo2516" "AL591824.1" 2594908 2595543 "+" 636
"1104" "lmo2519" "AL591824.1" 2598426 2598431 "-" 6
"1105" "lmo2521" "AL591824.1" 2599548 2600282 "-" 735
"1106" "lmo2520" "AL591824.1" 2599553 2599558 "-" 6
"1107" "atpF" "AL591824.1" 2610592 2611104 "-" 513
"1108" "atpH" "AL591824.1" 2610602 2610607 "-" 6
"1109" "atpI" "AL591824.1" 2612205 2612603 "-" 399
"1110" "atpB" "AL591824.1" 2612207 2612212 "-" 6
"1111" "lmo2541" "AL591824.1" 2617239 2618276 "-" 1038
"1112" "lmo2540" "AL591824.1" 2617251 2617256 "-" 6
"1113" "lmo2542" "AL591824.1" 2618542 2618575 "-" 34
"1114" "prf1" "AL591824.1" 2619415 2620491 "-" 1077
"1115" "lmo2542" "AL591824.1" 2619435 2619440 "-" 6
"1116" "thrB" "AL591824.1" 2621161 2621194 "-" 34
"1117" "thrB" "AL591824.1" 2622077 2622082 "-" 6
"1118" "hom" "AL591824.1" 2623125 2624411 "-" 1287
"1119" "thrC" "AL591824.1" 2623130 2623135 "-" 6
"1120" "lmo2550" "AL591824.1" 2625414 2626361 "-" 948
"1121" "gtcA" "AL591824.1" 2625425 2625431 "-" 7
"1122" "lmo2553" "AL591824.1" 2630287 2630292 "-" 6
"1123" "lmo2555" "AL591824.1" 2631303 2632586 "-" 1284
"1124" "lmo2554" "AL591824.1" 2631321 2631326 "-" 6
"1125" "lmo2562" "AL591824.1" 2642499 2642948 "-" 450
"1126" "argS" "AL591824.1" 2642510 2642515 "-" 6
"1127" "lmo2571" "AL591824.1" 2650239 2650244 "-" 6
"1128" "lmo2573" "AL591824.1" 2650758 2651756 "-" 999
"1129" "lmo2572" "AL591824.1" 2650765 2650770 "-" 6
"1130" "lmo2578" "AL591824.1" 2658966 2659841 "+" 876
"1131" "lmo2579" "AL591824.1" 2659852 2660145 "+" 294
"1132" "lmo2580" "AL591824.1" 2660365 2660403 "-" 39
"1133" "lmo2581" "AL591824.1" 2661076 2662164 "-" 1089
"1134" "lmo2580" "AL591824.1" 2661085 2661090 "-" 6
"1135" "lmo2583" "AL591824.1" 2663619 2664296 "-" 678
"1136" "lmo2582" "AL591824.1" 2663630 2663635 "-" 6
"1137" "lmo2585" "AL591824.1" 2665147 2665184 "-" 38
"1138" "lmo2586" "AL591824.1" 2665666 2668653 "-" 2988
"1139" "lmo2585" "AL591824.1" 2665675 2665680 "-" 6
"1140" "truA" "AL591824.1" 2686052 2686057 "-" 6
"1141" "lmo2599" "AL591824.1" 2686857 2686862 "-" 6
"1142" "lmo2601" "AL591824.1" 2687691 2688530 "-" 840
"1143" "lmo2600" "AL591824.1" 2687730 2687735 "-" 6
"1144" "rplO" "AL591824.1" 2696771 2697211 "-" 441
"1145" "secY" "AL591824.1" 2696779 2696784 "-" 6
"1146" "rpmD" "AL591824.1" 2697267 2697446 "-" 180
"1147" "rpsE" "AL591824.1" 2697463 2697966 "-" 504
"1148" "rpmC" "AL591824.1" 2701454 2701458 "-" 5
"1149" "rplP" "AL591824.1" 2701879 2701884 "-" 6
"1150" "rplV" "AL591824.1" 2702532 2702888 "-" 357
"1151" "rpsC" "AL591824.1" 2702537 2702542 "-" 6
"1152" "rplD" "AL591824.1" 2704433 2705056 "-" 624
"1153" "rplW" "AL591824.1" 2704444 2704449 "-" 6
"1154" "lmo2645" "AL591824.1" 2718268 2718303 "-" 36
"1155" "lmo2645" "AL591824.1" 2719064 2719069 "-" 6
"1156" "lmo2647" "AL591824.1" 2719735 2720484 "-" 750
"1157" "lmo2646" "AL591824.1" 2719785 2719790 "-" 6
"1158" "lmo2648" "AL591824.1" 2720497 2721489 "-" 993
"1159" "lmo2651" "AL591824.1" 2723159 2723593 "-" 435
"1160" "lmo2650" "AL591824.1" 2723164 2723169 "-" 6
"1161" "lmo2659" "AL591824.1" 2732539 2732575 "-" 37
"1162" "lmo2660" "AL591824.1" 2733230 2735245 "-" 2016
"1163" "lmo2659" "AL591824.1" 2733241 2733249 "-" 9
"1164" "lmo2661" "AL591824.1" 2735279 2735953 "-" 675
"1165" "lmo2662" "AL591824.1" 2735962 2736402 "-" 441
"1166" "lmo2664" "AL591824.1" 2737630 2738682 "-" 1053
"1167" "lmo2663" "AL591824.1" 2737637 2737642 "-" 6
"1168" "lmo2671" "AL591824.1" 2744571 2744939 "-" 369
"1169" "lmo2670" "AL591824.1" 2744582 2744587 "-" 6
"1170" "lmo2675" "AL591824.1" 2747073 2747414 "+" 342
"1171" "lmo2676" "AL591824.1" 2747427 2748683 "+" 1257
"1172" "lmo2679" "AL591824.1" 2750230 2752920 "-" 2691
"1173" "lmo2678" "AL591824.1" 2750243 2750248 "-" 6
"1174" "kdpB" "AL591824.1" 2753523 2755568 "-" 2046
"1175" "kdpA" "AL591824.1" 2755580 2757265 "-" 1686
"1176" "lmo2687" "AL591824.1" 2761965 2761970 "-" 6
"1177" "lmo2689" "AL591824.1" 2763082 2765652 "-" 2571
"1178" "lmo2688" "AL591824.1" 2763090 2763095 "-" 6
"1179" "lmo2696" "AL591824.1" 2772634 2773230 "+" 597
"1180" "lmo2697" "AL591824.1" 2773220 2773225 "+" 6
"1181" "lmo2707" "AL591824.1" 2780577 2780798 "-" 222
"1182" "lmo2706" "AL591824.1" 2780582 2780588 "-" 7
"1183" "cydD" "AL591824.1" 2788461 2788495 "-" 35
"1184" "cydD" "AL591824.1" 2790251 2790256 "-" 6
"1185" "cydC" "AL591824.1" 2791981 2791986 "-" 6
"1186" "cydA" "AL591824.1" 2792967 2794373 "-" 1407
"1187" "cydB" "AL591824.1" 2792990 2792995 "-" 6
"1188" "lmo2726" "AL591824.1" 2800958 2801407 "-" 450
"1189" "lmo2725" "AL591824.1" 2800971 2800976 "-" 6
"1190" "lmo2728" "AL591824.1" 2802543 2802998 "+" 456
"1191" "lmo2729" "AL591824.1" 2802984 2802989 "+" 6
"1192" "lmo2729" "AL591824.1" 2803410 2803449 "+" 40
"1193" "lmo2734" "AL591824.1" 2807459 2810107 "+" 2649
"1194" "lmo2735" "AL591824.1" 2810095 2810100 "+" 6
"1195" "lmo2736" "AL591824.1" 2811775 2811780 "+" 6
"1196" "lmo2735" "AL591824.1" 2811798 2811838 "+" 41
"1197" "lmo2739" "AL591824.1" 2816101 2816106 "-" 6
"1198" "lmo2741" "AL591824.1" 2816363 2817571 "-" 1209
"1199" "lmo2740" "AL591824.1" 2816380 2816385 "-" 6
"1200" "lmo2749" "AL591824.1" 2824079 2824651 "+" 573
"1201" "lmo2750" "AL591824.1" 2824633 2824638 "+" 6
"1202" "lmo2751" "AL591824.1" 2826515 2828236 "+" 1722
"1203" "lmo2752" "AL591824.1" 2828220 2828225 "+" 6
"1204" "lmo2752" "AL591824.1" 2830039 2830082 "+" 44
"1205" "lmo2763" "AL591824.1" 2844249 2845601 "+" 1353
"1206" "lmo2764" "AL591824.1" 2845613 2846497 "+" 885
"1207" "lmo2765" "AL591824.1" 2846475 2846480 "+" 6
"1208" "lmo2765" "AL591824.1" 2846806 2846832 "+" 27
"1209" "lmo2771" "AL591824.1" 2852956 2852979 "-" 24
"1210" "lmo2772" "AL591824.1" 2854429 2856282 "-" 1854
"1211" "lmo2771" "AL591824.1" 2854444 2854449 "-" 6
"1212" "lmo2775" "AL591824.1" 2858196 2860364 "-" 2169
"1213" "lmo2774" "AL591824.1" 2858209 2858214 "-" 6
"1214" "lmo2781" "AL591824.1" 2865127 2867397 "-" 2271
"1215" "lmo2780" "AL591824.1" 2865131 2865136 "-" 6
"1216" "bvrC" "AL591824.1" 2872889 2872921 "-" 33
"1217" "bvrB" "AL591824.1" 2873915 2875837 "-" 1923
"1218" "bvrC" "AL591824.1" 2873926 2873931 "-" 6
"1219" "lmo2789" "AL591824.1" 2876911 2877153 "-" 243
"1220" "parA" "AL591824.1" 2878004 2878765 "-" 762
"1221" "parB" "AL591824.1" 2878021 2878026 "-" 6
"1222" "lmo2793" "AL591824.1" 2879869 2880205 "-" 337
"1223" "lmo2794" "AL591824.1" 2880217 2881071 "-" 855
"1224" "lmo2796" "AL591824.1" 2882033 2882938 "-" 906
"1225" "lmo2795" "AL591824.1" 2882059 2882064 "-" 6
"1226" "lmo2797" "AL591824.1" 2882963 2883409 "-" 447
"1227" "lmo2798" "AL591824.1" 2883422 2884078 "-" 657
"1228" "lmo2801" "AL591824.1" 2886584 2887297 "-" 714
"1229" "lmo2800" "AL591824.1" 2886591 2886596 "-" 6
"1230" "lmo2803" "AL591824.1" 2889007 2889012 "-" 6
"1231" "lmo2805" "AL591824.1" 2890274 2890666 "-" 393
"1232" "lmo2804" "AL591824.1" 2890285 2890290 "-" 6
"1233" "lmo2808" "AL591824.1" 2891649 2892032 "-" 384
"1234" "lmo2807" "AL591824.1" 2891660 2891665 "-" 6
"1235" "lmo2817" "AL591824.1" 2900594 2901784 "-" 1191
"1236" "lmo2819" "AL591824.1" 2903200 2904402 "-" 1203
"1237" "lmo2818" "AL591824.1" 2903210 2903215 "-" 6
"1238" "lmo2822" "AL591824.1" 2909705 2910076 "-" 372
"1239" "lmo2823" "AL591824.1" 2910085 2911326 "-" 1242
"1240" "serC" "AL591824.1" 2912595 2913686 "-" 1092
"1241" "lmo2824" "AL591824.1" 2912611 2912616 "-" 6
"1242" "lmo2826" "AL591824.1" 2913991 2915205 "-" 1215
"1243" "lmo2827" "AL591824.1" 2915219 2915641 "-" 423
"1244" "lmo2831" "AL591824.1" 2918058 2918063 "-" 6
"1245" "lmo2832" "AL591824.1" 2919180 2919185 "-" 6
"1246" "lmo2834" "AL591824.1" 2921340 2922371 "-" 1032
"1247" "lmo2833" "AL591824.1" 2921351 2921357 "-" 7
"1248" "lmo2835" "AL591824.1" 2922429 2923223 "-" 795
"1249" "lmo2836" "AL591824.1" 2923236 2924288 "-" 1053
"1250" "lmo2838" "AL591824.1" 2925145 2926026 "-" 882
"1251" "lmo2837" "AL591824.1" 2925168 2925174 "-" 7
"1252" "lmo2839" "AL591824.1" 2926061 2926093 "-" 33
"1253" "lmo2840" "AL591824.1" 2927390 2928631 "-" 1242
"1254" "lmo2839" "AL591824.1" 2927401 2927406 "-" 6
"1255" "lmo2846" "AL591824.1" 2934709 2935070 "-" 362
"1256" "lmo2847" "AL591824.1" 2935083 2935904 "-" 822
"1257" "lmo2848" "AL591824.1" 2935917 2937179 "-" 1263
"1258" "lmo2849" "AL591824.1" 2937192 2938643 "-" 1452
"1259" "lmo2852" "AL591824.1" 2941023 2941544 "-" 522
"1260" "lmo2853" "AL591824.1" 2941555 2941591 "-" 37
"1261" "lmo2854" "AL591824.1" 2942216 2943079 "-" 864
"1262" "lmo2853" "AL591824.1" 2942232 2942237 "-" 6
